Instancia;Método;Parámetro;T. ejecución;V. total;V. solapamiento;V. 8h;V. 6h;V. tiempo muerto;V. créditos
t1.2;first;3;5;24;24;0;0;0;0
t1.2;first;3;2;12;12;0;0;0;0
t1.2;first;3;3;60;60;0;0;0;0
t1.2;first;3;4;43;24;0;0;19;0
t1.2;first;3;3;0;0;0;0;0;0
t1.2;first;3;5;31;12;0;0;19;0
t1.2;first;3;4;79;60;0;0;19;0
t1.2;first;3;3;43;24;0;0;19;0
t1.2;first;3;4;79;60;0;0;19;0
t1.2;first;3;4;12;12;0;0;0;0
t1.2;first;3;3;31;12;0;0;19;0
t1.2;first;3;4;43;24;0;0;19;0
t1.2;first;3;5;38;0;0;0;38;0
t1.2;first;3;3;31;12;0;0;19;0
t1.2;first;3;4;0;0;0;0;0;0
t1.2;first;3;5;36;36;0;0;0;0
t1.2;first;3;4;43;24;0;0;19;0
t1.2;first;3;4;0;0;0;0;0;0
t1.2;first;3;4;24;24;0;0;0;0
t1.2;first;3;4;103;84;0;0;19;0
t1.2;first;3;3;12;12;0;0;0;0
t1.2;first;3;3;31;12;0;0;19;0
